Time resolution is 1 ps
Memory @ 0x200 = 60
Memory @ 0x201 = 1c
Time=0 | PC=200 | State= 0 | Opcode=0000 | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=xxx | mem_data_in = xx | mem_data_out = xx | mem_read = 0 | mem_write = 0
Time=30000 | PC=200 | State= 1 | Opcode=0000 | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=200 | mem_data_in = xx | mem_data_out = xx | mem_read = 1 | mem_write = 0
Time=50000 | PC=200 | State= 2 | Opcode=0000 | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=200 | mem_data_in = xx | mem_data_out = 60 | mem_read = 0 | mem_write = 0
Time=70000 | PC=200 | State= 3 | Opcode=0000 | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=201 | mem_data_in = xx | mem_data_out = 60 | mem_read = 1 | mem_write = 0
Time=90000 | PC=200 | State= 4 | Opcode=0000 | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=201 | mem_data_in = xx | mem_data_out = 1c | mem_read = 0 | mem_write = 0
Time=110000 | PC=200 | State= 6 | Opcode=0000 | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=201 | mem_data_in = xx | mem_data_out = 1c | mem_read = 0 | mem_write = 0
Time=130000 | PC=200 | State= 5 | Opcode=601c | I_reg=000 | V0=xx V1=xx VA=xx VB=xx | mem_addr_out=201 | mem_data_in = xx | mem_data_out = 1c | mem_read = 0 | mem_write = 0
Time=150000 | PC=202 | State= 0 | Opcode=601c | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=201 | mem_data_in = xx | mem_data_out = 1c | mem_read = 0 | mem_write = 0
Time=170000 | PC=202 | State= 1 | Opcode=601c | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=202 | mem_data_in = xx | mem_data_out = 1c | mem_read = 1 | mem_write = 0
Time=190000 | PC=202 | State= 2 | Opcode=601c | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=202 | mem_data_in = xx | mem_data_out = 61 | mem_read = 0 | mem_write = 0
Time=210000 | PC=202 | State= 3 | Opcode=601c | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=203 | mem_data_in = xx | mem_data_out = 61 | mem_read = 1 | mem_write = 0
Time=230000 | PC=202 | State= 4 | Opcode=601c | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=203 | mem_data_in = xx | mem_data_out = 0a | mem_read = 0 | mem_write = 0
Time=250000 | PC=202 | State= 6 | Opcode=601c | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=203 | mem_data_in = xx | mem_data_out = 0a | mem_read = 0 | mem_write = 0
Time=270000 | PC=202 | State= 5 | Opcode=610a | I_reg=000 | V0=1c V1=xx VA=xx VB=xx | mem_addr_out=203 | mem_data_in = xx | mem_data_out = 0a | mem_read = 0 | mem_write = 0
Time=290000 | PC=204 | State= 0 | Opcode=610a | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=203 | mem_data_in = xx | mem_data_out = 0a | mem_read = 0 | mem_write = 0
Time=310000 | PC=204 | State= 1 | Opcode=610a | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=204 | mem_data_in = xx | mem_data_out = 0a | mem_read = 1 | mem_write = 0
Time=330000 | PC=204 | State= 2 | Opcode=610a | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=204 | mem_data_in = xx | mem_data_out = a3 | mem_read = 0 | mem_write = 0
Time=350000 | PC=204 | State= 3 | Opcode=610a | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=205 | mem_data_in = xx | mem_data_out = a3 | mem_read = 1 | mem_write = 0
Time=370000 | PC=204 | State= 4 | Opcode=610a | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=205 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=390000 | PC=204 | State= 6 | Opcode=610a | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=205 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=410000 | PC=204 | State= 5 | Opcode=a300 | I_reg=000 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=205 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=430000 | PC=206 | State= 0 | Opcode=a300 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=205 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=450000 | PC=206 | State= 1 | Opcode=a300 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=206 | mem_data_in = xx | mem_data_out = 00 | mem_read = 1 | mem_write = 0
Time=470000 | PC=206 | State= 2 | Opcode=a300 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=206 | mem_data_in = xx | mem_data_out = d0 | mem_read = 0 | mem_write = 0
Time=490000 | PC=206 | State= 3 | Opcode=a300 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=207 | mem_data_in = xx | mem_data_out = d0 | mem_read = 1 | mem_write = 0
Time=510000 | PC=206 | State= 4 | Opcode=a300 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=207 | mem_data_in = xx | mem_data_out = 15 | mem_read = 0 | mem_write = 0
Time=530000 | PC=206 | State= 6 | Opcode=a300 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=207 | mem_data_in = xx | mem_data_out = 15 | mem_read = 0 | mem_write = 0
Time=550000 | PC=206 | State= 5 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=207 | mem_data_in = xx | mem_data_out = 15 | mem_read = 0 | mem_write = 0
Time=570000 | PC=206 | State=10 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=300 | mem_data_in = xx | mem_data_out = 15 | mem_read = 1 | mem_write = 0
Time=590000 | PC=206 | State=11 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=300 | mem_data_in = xx | mem_data_out = f8 | mem_read = 0 | mem_write = 0
Time=610000 | PC=206 | State=12 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=301 | mem_data_in = xx | mem_data_out = f8 | mem_read = 1 | mem_write = 0
Time=630000 | PC=206 | State=10 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=301 | mem_data_in = xx | mem_data_out = 88 | mem_read = 0 | mem_write = 0
Time=650000 | PC=206 | State=11 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=301 | mem_data_in = xx | mem_data_out = 88 | mem_read = 0 | mem_write = 0
Time=670000 | PC=206 | State=12 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=302 | mem_data_in = xx | mem_data_out = 88 | mem_read = 1 | mem_write = 0
Time=690000 | PC=206 | State=10 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=302 | mem_data_in = xx | mem_data_out = 88 | mem_read = 0 | mem_write = 0
Time=710000 | PC=206 | State=11 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=302 | mem_data_in = xx | mem_data_out = 88 | mem_read = 0 | mem_write = 0
Time=730000 | PC=206 | State=12 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=303 | mem_data_in = xx | mem_data_out = 88 | mem_read = 1 | mem_write = 0
Time=750000 | PC=206 | State=10 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=303 | mem_data_in = xx | mem_data_out = 88 | mem_read = 0 | mem_write = 0
Time=770000 | PC=206 | State=11 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=303 | mem_data_in = xx | mem_data_out = 88 | mem_read = 0 | mem_write = 0
Time=790000 | PC=206 | State=12 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=304 | mem_data_in = xx | mem_data_out = 88 | mem_read = 1 | mem_write = 0
Time=810000 | PC=206 | State=10 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=304 | mem_data_in = xx | mem_data_out = f8 | mem_read = 0 | mem_write = 0
Time=830000 | PC=206 | State=11 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=304 | mem_data_in = xx | mem_data_out = f8 | mem_read = 0 | mem_write = 0
Time=850000 | PC=208 | State= 0 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=304 | mem_data_in = xx | mem_data_out = f8 | mem_read = 0 | mem_write = 0
Time=870000 | PC=208 | State= 1 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=208 | mem_data_in = xx | mem_data_out = f8 | mem_read = 1 | mem_write = 0
Time=890000 | PC=208 | State= 2 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=208 | mem_data_in = xx | mem_data_out = 00 | mem_read = 0 | mem_write = 0
Time=910000 | PC=208 | State= 3 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = 00 | mem_read = 1 | mem_write = 0
Time=930000 | PC=208 | State= 4 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=950000 | PC=208 | State= 6 | Opcode=d015 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=970000 | PC=208 | State= 5 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=990000 | PC=20a | State= 0 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=209 | mem_data_in = xx | mem_data_out = e0 | mem_read = 0 | mem_write = 0
Time=1010000 | PC=20a | State= 1 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20a | mem_data_in = xx | mem_data_out = e0 | mem_read = 1 | mem_write = 0
Time=1030000 | PC=20a | State= 2 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20a | mem_data_in = xx | mem_data_out = a3 | mem_read = 0 | mem_write = 0
Time=1050000 | PC=20a | State= 3 | Opcode=00e0 | I_reg=300 | V0=1c V1=0a VA=xx VB=xx | mem_addr_out=20b | mem_data_in = xx | mem_data_out = a3 | mem_read = 1 | mem_write = 0
